Country,NOC,1896,1900,1904,1906,1908,1912,1920,1924,1928,1932,1936,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016
Afghanistan,AFG,0,0,0,0,0,0,0,0,0,0,16,25,0,12,16,8,5,8,0,11,0,5,0,0,2,0,0,0,5,0,4,0,6,0,3
Algeria,ALG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,7,0,63,33,45,44,0,47,0,51,0,71,3,57,1,39,0,74
Argentina,ARG,0,1,0,0,1,0,1,100,93,47,57,308,187,39,125,164,144,129,122,26,152,179,157,20,221,6,161,26,175,17,141,20,148,20,228
Armenia,ARM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,38,7,26,17,19,9,26,6,31,6,36
Australasia,ANZ,0,0,0,0,48,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,AUS,5,6,6,10,0,0,29,61,29,20,42,101,154,424,311,399,231,278,293,209,357,373,431,47,546,34,774,41,543,45,563,47,510,84,244
Austria,AUT,8,26,7,100,13,127,60,162,45,434,320,310,144,233,196,171,211,189,158,235,249,248,230,92,154,114,148,92,132,92,132,90,213,85,96
Azerbaijan,AZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,32,4,37,2,44,4,59,4,69
Bahamas,BAH,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,6,22,25,19,31,18,18,18,0,36,0,39,0,28,0,33,0,29,0,38
Bahrain,BRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,15,0,5,0,4,0,10,0,15,0,14,0,33
Barbados,BAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,20,17,0,25,26,22,0,22,0,28,0,15,0,10,0,8,0,13
Belarus,BLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,259,107,231,123,192,70,233,95,185,72,142
Belgium,BEL,0,97,0,31,99,72,503,259,276,72,233,193,194,88,148,85,106,109,160,90,95,86,110,8,81,3,94,13,70,8,81,3,94,13,70
Bermuda,BER,0,0,0,0,0,0,0,0,0,9,0,28,12,0,1,1,6,9,20,13,14,30,1,10,1,7,1,10,1,1,6,1,8,1,8
Bohemia,BOH,0,9,0,29,41,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,BOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,11,6,0,7,0,9,0,12,0,11,0,4,0,14
Brazil,BRA,0,3,0,0,0,0,38,18,0,67,93,101,114,61,82,61,89,104,89,149,197,233,249,1,251,1,236,10,38,12,338,7,309,17,583
Bulgaria,BUL,0,0,0,0,0,0,0,31,10,2,96,9,198,97,198,135,205,238,296,413,33,329,300,38,181,34,150,54,119,44,87,41,75,47,58
Burundi,BDI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,7,0,3,0,6,0,10
Cameroon,CMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,18,4,29,56,21,12,0,19,0,39,2,19,0,32,0,32,0,22
Canada,CAN,0,7,61,4,148,60,85,100,144,242,207,231,204,195,205,277,402,429,640,86,661,629,629,147,408,208,422,213,391,305,446,308,354,347,405
Chile,CHI,0,0,0,0,0,28,2,18,46,55,83,89,50,21,27,27,36,13,20,76,39,27,7,24,6,58,11,29,15,29,10,44,14,47,55
China,CHN,0,0,0,0,0,0,0,0,0,2,65,33,1,0,0,0,0,0,0,38,393,442,468,43,438,88,414,108,1518,146,730,127,479,109,499
Columbia,COL,0,1,0,0,0,0,0,0,0,2,6,11,0,47,23,40,70,75,44,28,48,57,61,0,62,0,54,0,71,0,90,2,120,0,157
Costa Rica,CRC,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,27,4,10,40,39,38,26,0,13,0,9,2,21,1,8,0,11,0,12
Cote d'lvoire,CIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,13,11,0,18,29,18,0,13,0,18,0,5,0,22,0,10,0,15
Croatia,CRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,11,117,13,108,29,100,46,125,37,118,25,93
Cuba,CUB,0,2,6,0,0,0,0,10,1,3,0,112,52,22,19,76,227,201,194,288,0,0,196,0,178,0,271,0,177,0,167,0,118,0,143
Cyprus,CYP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,22,19,30,1,24,1,24,2,21,2,18,4,13,2,21
Czech Republic,CZE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,167,117,158,161,167,168,154,168,153,179,133
Czechoslovakia,TCH,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,DEN,15,36,0,57,107,224,246,158,122,94,166,250,196,51,109,71,99,155,81,60,74,131,157,9,145,19,124,11,115,4,108,23,149,15,143
Djibout+A81i,DJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,8,0,5,0,2,0,2,0,4,0,8,0,10
Dominican Republic,DOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,5,11,7,24,18,32,0,16,0,13,0,33,0,27,0,36,0,30
East Germany,GDR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,521,502,582,103,500,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,ECU,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,41,4,8,16,15,15,15,0,28,0,11,0,18,0,26,0,36,0,40
Egypt,EGY,0,0,0,5,0,0,22,30,43,0,66,166,196,6,0,83,35,26,26,0,151,59,83,0,33,0,103,0,104,0,116,0,132,0,137
Eritrea,ERI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,11,0,12,0,12
Estonia,EST,0,0,0,0,0,0,20,47,29,3,44,0,0,0,0,0,0,0,0,0,0,0,97,67,52,48,41,51,45,63,53,64,36,66,49
Ethiopia,ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,30,15,19,26,40,0,48,0,0,24,0,19,0,27,0,27,1,29,1,34,0,38
Fiji,FIJ,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,1,4,5,0,26,42,36,1,21,0,9,2,9,0,6,0,9,0,53
Finland,FIN,0,0,0,18,94,220,136,282,159,78,210,249,477,196,285,233,221,216,187,210,187,193,244,112,105,132,88,165,67,140,70,146,69,147,67
France,FRA,26,887,2,171,319,213,452,701,464,165,323,481,445,272,408,262,429,425,361,244,411,528,670,169,453,159,159,470,179,461,159,445,196,426,512
Gabon,GAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,5,0,9,0,6,0,5,0,4,0,21,0,6
Georgia,GEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,42,6,47,6,39,4,38,9,36,7,45
Germany,GER,94,94,52,157,148,33,0,0,450,225,643,0,432,524,612,0,0,0,0,0,0,0,844,182,626,217,567,259,592,263,558,251,510,263,536
Ghana,GHA,0,0,0,0,0,0,0,0,0,0,0,0,9,0,15,40,36,41,0,0,27,21,41,0,40,0,28,0,29,0,9,1,7,0,15
Great Britain,GBR,25,145,6,112,955,443,341,478,387,174,282,658,423,350,418,360,392,504,423,404,587,567,602,51,391,45,415,70,360,54,417,78,684,78,478
Greece,GRE,146,4,12,395,49,77,98,79,47,16,66,95,58,20,55,23,52,72,50,51,86,87,102,15,180,16,175,0,17,499,8,176,12,115,13
Grenada,GRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,5,0,5,0,3,0,5,0,9,0,8,0,6
