year,Country,Season
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Australia,Summer
1896,Australia,Summer
1896,Australia,Summer
1896,America,Summer
1896,America,Summer
1896,America,Summer
1896,America,Summer
1896,America,Summer
1896,America,Summer
1896,America,Summer
1896,America,Summer
1896,America,Summer
1896,America,Summer
1896,America,Summer
1896,America,Summer
1896,America,Summer
1896,America,Summer
1896,America,Summer
1896,America,Summer
1896,America,Summer
1896,America,Summer
1896,America,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1896,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,Australia,Summer
1900,Australia,Summer
1900,Australia,Summer
1900,Australia,Summer
1900,Australia,Summer
1900,Australia,Summer
1900,Asia,Summer
1900,Asia,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,America,Summer
1900,Australia,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,Europe,Summer
1900,America,Summer
1904,Europe,Summer
1904,Europe,Summer
1904,Europe,Summer
1904,Europe,Summer
1904,Europe,Summer
1904,Europe,Summer
1904,Europe,Summer
1904,Europe,Summer
1904,Europe,Summer
1904,Europe,Summer
1904,Europe,Summer
1904,Europe,Summer
1904,Europe,Summer
1904,Europe,Summer
1904,Europe,Summer
1904,Australia,Summer
1904,Australia,Summer
1904,Australia,Summer
1904,Australia,Summer
1904,Europe,Summer
1904,Europe,Summer
1904,Europe,Summer
1904,Europe,Summer
1904,Europe,Summer
1904,Europe,Summer
1904,Europe,Summer
1904,Europe,Summer
1904,Europe,Summer
1904,Europe,Summer
1904,Europe,Summer
1904,Europe,Summer
1904,Europe,Summer
1904,Europe,Summer
1904,Europe,Summer
1904,Europe,Summer
1904,Europe,Summer
1904,Europe,Summer
1904,Europe,Summer
1904,Europe,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
1904,America,Summer
